"FIPS","County","State","Pop.in.Juvenile.Facilities..2010.","Pop.in.Mental..psych..hosp..2010.","ST.inpt.days.psych..2019.","ST.inpt.days.rehab..2019.","LT.inpt.days.gen.med..2019.","LT.inpt.days.in.psych..2019.","LT.inpt.days.rehab..2019.","Emergency.dept.visits..2019.","X3.yr.suicides..2017.2019.","Pop.est..2019.","Census.pop..2010.","Median.age..2010.","pct.white..2010.","pct.black..2010.","pct.am.ind..2010.","pct.asian..2010.","pct.PI..2010.","pct...2.race..2010.","pct.other..2010.","pct.urban.pop..2010.","med.HH.income..2019.est.","persons.in.poverty..2019.est.","no.HH..2010.","X..single.parent.HH..2010.","pct.25..hs.dip..15.19.","pct.25..hs.dip.or.mas..15.19.","pct.25..4yr.college..15.19.","no_obs","skateparks","Name","Deaths","Population","CrudeRate"
48227,"Howard","TX",0,192,0,0,0,57969,0,29595,12,36664,35012,38.5,74.1,6.2,0.9,0.8,0,2.1,15.9,79.9,61112,5281,11333,1588,20,80,12.6,NA,0,"Howard County, TX",8323,768775,"1082.6"
48229,"Hudspeth","TX",0,0,0,0,0,0,0,0,NA,4886,3476,36.5,78.8,1.4,1.1,0.5,0,2.2,16.1,0,39309,1343,1174,146,44.5,55.5,10.7,1,1,"Hudspeth County, TX",446,80486,"554.1"
48231,"Hunt","TX",27,0,35045,0,0,0,0,64793,13,98594,86129,37.8,81.6,8.3,0.9,1.1,0.2,2.4,5.6,43.4,57513,14114,32076,3481,15.5,84.5,19.9,NA,0,"Hunt County, TX",18746,1900011,"986.6"
48233,"Hutchinson","TX",0,0,0,0,0,0,0,7201,NA,20938,22150,37.8,85.5,2.5,1.6,0.4,0,2.7,7.1,77.4,57936,2351,8812,928,14,86,14,2,2,"Hutchinson County, TX",5601,487285,"1149.4"
48235,"Irion","TX",0,0,0,0,0,0,0,0,NA,1536,1599,45.1,91.6,0.7,0.4,0.2,0,2.1,5,0,68630,114,653,57,6.8,93.2,15,1,1,"Irion County, TX",286,35447,"806.8"
48237,"Jack","TX",0,0,0,0,0,0,0,3076,NA,8935,9044,39.2,87.5,3.8,0.7,0.3,0,1.1,6.6,46.8,55358,1212,3136,265,18,82,13.5,3,3,"Jack County, TX",2011,196612,"1022.8"
48239,"Jackson","TX",0,0,0,0,0,0,0,4169,NA,14760,14075,39.4,81.3,7,0.4,0.4,0,2.1,8.8,38.2,55800,1996,5284,525,17.6,82.4,16.5,1,1,"Jackson County, TX",3411,315664,"1080.6"
48241,"Jasper","TX",0,0,0,0,0,0,0,21996,NA,35529,35710,40.5,77.7,16.7,0.6,0.6,0,1.5,3,21.8,47252,6747,13770,1634,15,85,12.9,NA,0,"Jasper County, TX",9125,782019,"1166.9"
48243,"Jeff Davis","TX",88,0,0,0,0,0,0,0,NA,2274,2342,52,90.2,1,0.6,0.3,0,2,5.8,0,53362,278,1034,55,21.1,78.9,30.5,NA,0,"Jeff Davis County, TX",434,49495,"876.9"
48245,"Jefferson","TX",260,0,0,13584,0,0,0,195103,37,251565,252273,36,52.2,33.8,0.5,3.4,0,2,8.1,91.6,55173,39998,93441,13265,15.8,84.2,19.7,NA,0,"Jefferson County, TX",55629,5534105,"1005.2"
48247,"Jim Hogg","TX",0,0,0,0,0,0,0,0,NA,5200,5300,35.6,87.9,0.4,0.4,0.3,0,1.5,9.5,82.6,38788,1181,1902,269,25.5,74.5,13.4,NA,0,"Jim Hogg County, TX",1109,114720,"966.7"
48249,"Jim Wells","TX",0,0,0,0,0,0,0,28824,NA,40482,40838,34.9,87.2,0.6,0.7,0.4,0,1.6,9.5,59.9,44444,8385,13961,2245,25.1,74.9,12.2,NA,0,"Jim Wells County, TX",8326,893073,"932.3"
48251,"Johnson","TX",2,0,0,0,0,0,0,111458,26,175817,150934,36.3,87.2,2.6,0.7,0.7,0.3,2.1,6.3,62.1,66538,19035,52193,5876,14.3,85.7,18.7,NA,0,"Johnson County, TX",27126,3303475,"821.1"
48253,"Jones","TX",0,0,0,0,0,0,0,3232,NA,20083,20202,39,71.2,11.6,0.6,0.4,0,1.7,14.5,14.9,51094,3032,6034,581,21.6,78.4,11.7,NA,0,"Jones County, TX",4390,443311,"990.3"
48255,"Karnes","TX",0,0,0,0,0,0,0,9556,NA,15601,14824,37.2,70.2,9.3,0.5,0.2,0,1.3,18.4,61.6,54843,2644,4463,564,24.3,75.7,15.3,NA,0,"Karnes County, TX",3364,333403,"1009.0"
48257,"Kaufman","TX",14,316,0,0,0,98400,0,25304,22,136154,103350,35.4,79.1,10.4,0.7,0.9,0,2.3,6.6,51.2,75009,13108,34964,4096,14.2,85.8,20.5,NA,0,"Kaufman County, TX",18446,2233432,"825.9"
48259,"Kendall","TX",69,0,0,0,0,0,0,0,NA,47431,33410,44.1,90.7,0.5,0.6,0.6,0.1,1.9,5.7,41.8,94899,3468,12617,891,7.2,92.8,42.1,1,1,"Kendall County, TX",6777,749720,"903.9"
48261,"Kenedy","TX",0,0,0,0,0,0,0,0,NA,404,416,41.3,87.5,1.2,1.4,0.2,0,2.9,6.7,0,46132,57,147,16,73.6,26.4,1,NA,0,"Kenedy County, TX",76,9204,"825.7"
48263,"Kent","TX",10,0,0,0,0,0,0,0,NA,762,808,48.4,93.2,1,0.9,0,0,1.4,3.6,0,52591,81,350,31,14.2,85.8,25.4,1,1,"Kent County, TX",303,17504,"1731.0"
48265,"Kerr","TX",114,202,0,0,0,78599,0,29445,15,52600,49625,47.3,87.7,1.8,0.7,0.8,0.1,2.1,6.9,58.9,57789,6310,20550,1738,11.4,88.6,27.4,1,1,"Kerr County, TX",15076,1070452,"1408.4"
48267,"Kimble","TX",0,0,0,0,0,0,0,2039,NA,4337,4607,48.6,91.5,0.4,0.8,0.4,0.1,0.8,5.9,55.7,44757,730,2016,150,14.9,85.1,22.5,NA,0,"Kimble County, TX",1317,98849,"1332.3"
48269,"King","TX",0,0,0,0,0,0,0,0,NA,272,286,43.4,93.7,0,1,0,0,1.4,3.8,0,71256,30,113,7,20.3,79.7,20.9,NA,0,"King County, TX",34,6422,"529.4"
48271,"Kinney","TX",0,0,0,0,0,0,0,0,NA,3667,3598,45.3,88.6,1.5,0.7,0.3,0,2.1,6.9,79.5,47076,629,1350,77,21.5,78.5,12.1,NA,0,"Kinney County, TX",817,77934,"1048.3"
48273,"Kleberg","TX",0,0,0,0,0,0,0,22084,NA,30680,32061,29,79.9,3.7,0.6,2.3,0.1,2.4,10.9,81.1,47169,6804,11097,1699,21.6,78.4,24.6,NA,0,"Kleberg County, TX",5526,693022,"797.4"
48275,"Knox","TX",0,0,0,0,0,0,0,1309,NA,3664,3719,41.6,76.4,5.8,0.6,0.2,0,3,14.1,0,40808,679,1506,156,18.1,81.9,20.1,NA,0,"Knox County, TX",1277,84468,"1511.8"
48277,"Lamar","TX",0,0,0,0,0,0,0,36604,11,49859,49793,39.7,79.3,13.5,1.4,0.6,0,2.7,2.5,52.9,47061,9050,19829,2490,15.7,84.3,18.7,1,1,"Lamar County, TX",13397,1086373,"1233.2"
48279,"Lamb","TX",0,0,0,0,0,0,0,3383,NA,12893,13977,36.3,74.4,4.3,0.9,0.1,0,2.3,17.9,42.3,42719,2346,5081,637,25.1,74.9,14.4,1,1,"Lamb County, TX",3652,307091,"1189.2"
48281,"Lampasas","TX",28,0,0,0,0,0,0,7488,NA,21428,19677,41,85.3,3.2,0.9,1,0.2,3.2,6.2,31.7,58817,2627,7539,731,9,91,19.9,1,1,"Lampasas County, TX",4476,434224,"1030.8"
48283,"La Salle","TX",0,0,0,0,0,0,0,0,NA,7520,6886,30,89.7,0.5,0.6,0.1,0,1.2,8,53.6,41683,1561,1931,280,36.4,63.6,7.5,NA,0,"La Salle County, TX",1157,150626,"768.1"
48285,"Lavaca","TX",0,0,0,0,0,0,0,10085,NA,20154,19263,45.2,86,6.8,0.3,0.3,0.1,1.7,4.9,18.7,52632,2163,7808,644,14.4,85.6,16.7,NA,0,"Lavaca County, TX",5666,428292,"1322.9"
48287,"Lee","TX",293,0,0,0,0,0,0,0,NA,17239,16612,39.8,78.9,10.9,0.6,0.3,0.1,1.9,7.2,30.3,59250,1791,6151,586,15.4,84.6,14.6,NA,0,"Lee County, TX",3583,364065,"984.2"
