FIPS,psych.st,rehab.st,genhosp.lt,psych.lt,rehab.lt,popjuvy.10,poppsych.10,psych.st.days,rehab.st.days,genhosp.lt.days,psych.lt.days,rehab.lt.days,er.visits,suicides.17.19,pop,pop.10,medage.10,percwhite.10,percblack.10,percamind.10,percasian.10,percpi.10,perctwoormore.10,percother.10,percurban.10,medhhincome,personsimpoverished,households.10,singleparenthouseholds.10,perclessthanhs.15,percwithhsormore.15,fouryearscollege.15,skateparks,perchisp.10,impoverishedpc
48059,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,13943,13544,43,93.9,1,0.6,0.4,0.1,1.8,2.2,27.8,50812,1675,5447,509,11.8,88.2,21,0,4,0.120131966
48061,1,1,0,0,0,241,19,18628,10957,0,0,0,193687,37,423163,406220,30.6,87,0.5,0.4,0.7,0,1.5,9.8,91.6,40893,106976,119631,20974,32.1,67.9,17.3,3,11.4,0.25280093
48063,0,0,0,0,0,0,0,0,0,0,0,0,14514,NA,13094,12401,38.3,67.8,17.4,0.7,0.5,0.1,2.7,10.8,38.5,47091,2151,4678,595,12.8,87.2,19.4,0,13.5,0.164273713
48065,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,5926,6182,42.4,93.9,0.6,1.1,0.3,0,1.7,2.5,4.8,69760,504,2452,201,6.7,93.3,28.4,1,4.1,0.085048937
48067,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,30026,30464,43.1,79,17.4,0.5,0.3,0,1.4,1.3,26,44529,5103,12429,1459,14.1,85.9,16.4,0,2.8,0.169952708
48069,0,0,0,0,0,0,0,0,0,0,0,0,2154,NA,7530,8062,33.9,68.6,2,0.9,0.4,0,1.6,26.4,54.2,51736,1138,2744,298,25.9,74.1,15.6,1,28.1,0.151128818
48071,0,0,0,0,0,0,0,0,0,0,0,0,4059,NA,43837,35096,36.1,78.6,8.2,0.6,1,0.1,2.1,9.5,54.3,93351,3761,11952,1222,11.5,88.5,22.7,1,11.5,0.085795105
48073,0,0,0,1,0,0,268,0,0,0,100897,0,30438,NA,52646,50845,37.4,71.7,14.7,0.7,0.5,0,2.2,10.2,37,46576,8221,17894,2220,21,79,17.2,0,12.4,0.156156213
48075,0,0,0,0,0,0,0,0,0,0,0,0,5451,NA,7306,7041,33.7,82,9.9,0.6,0.7,0,1.4,5.3,66.9,44095,1217,2326,246,18,82,18.3,0,6.8,0.166575417
48077,0,0,0,0,0,0,0,0,0,0,0,0,2241,NA,10471,10752,44.8,95.1,0.5,1.1,0.3,0,1.7,1.3,25.4,59983,1191,4319,327,9.5,90.5,21.4,1,3,0.113742718
48079,0,0,0,0,0,31,0,0,0,0,0,0,446,NA,2853,3127,35.7,73.2,4,1.2,0.2,0.1,2.7,18.7,0,43742,545,1113,138,32.3,67.7,8,1,21.3,0.191026989
48081,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3387,3320,48.4,91.4,0.2,1.1,0.2,0,1.9,5.1,0,48435,437,1466,112,16.3,83.7,17.8,0,7.1,0.129022734
48083,0,0,0,0,0,0,0,0,0,0,0,0,3698,NA,8175,8895,46.3,88.2,2.2,0.7,0.4,0,1.9,6.7,48.5,44834,1429,3857,364,13.5,86.5,15.8,0,8.5,0.174801223
48085,1,3,0,0,0,5,0,13181,37521,0,0,0,317668,114,1034730,782341,35,71.6,8.5,0.6,11.2,0.1,3,5.1,94.8,96847,62612,283759,25650,6.2,93.8,52.3,6,8,0.060510471
48087,0,0,0,0,0,0,0,0,0,0,0,0,1110,NA,2920,3057,38.6,76.5,4.4,1.7,0.1,0,4.1,13.2,0,40314,566,1179,135,26.1,73.9,20.2,0,17.3,0.193835616
48089,0,0,0,0,0,0,0,0,0,0,0,0,10348,NA,21493,20874,43.6,75.1,13.1,0.6,0.4,0.1,1.9,8.8,37.4,55607,2867,8182,786,16.9,83.1,21,0,10.7,0.133392267
48091,0,1,0,0,0,61,0,0,11747,0,0,0,29341,28,156209,108472,42.5,89.5,1.6,0.6,0.8,0,2.2,5.4,53.9,87976,10407,41363,3444,7.4,92.6,36.8,5,7.5,0.066622282
48093,0,0,0,0,0,0,0,0,0,0,0,0,5194,NA,13635,13974,43.3,88.9,0.4,0.7,0.3,0,1.6,8.2,28.5,54122,1818,5580,487,15.5,84.5,20.3,0,9.7,0.133333333
48095,0,0,0,0,0,0,0,0,0,0,0,0,1448,NA,2726,4087,41.4,86.9,1.9,0.4,0.3,0.1,1.9,8.4,0,43321,404,1041,99,32.1,67.9,13,0,10.4,0.148202494
48097,0,0,0,0,0,261,0,0,0,0,0,0,10267,11,41257,38437,39.4,85.7,2.7,1,0.8,0,2.2,7.5,41,61186,5155,14513,1520,13.9,86.1,20.9,3,9.8,0.124948494
48099,0,0,0,0,0,0,0,0,0,0,0,0,7862,16,75951,75388,29.8,70.3,15.8,0.8,1.9,0.9,5,5.1,80.6,53083,7529,22545,2994,12,88,16.1,1,10.3,0.099129702
